id,Date,Index,price
1,1/1/2014,VFINX,164.449997
2,2/1/2014,VFINX,171.949997
3,3/1/2014,VFINX,172.630005
4,4/1/2014,VFINX,173.880005
5,5/1/2014,VFINX,177.940002
6,6/1/2014,VFINX,180.830002
7,7/1/2014,VFINX,178.320007
8,8/1/2014,VFINX,185.429993
9,9/1/2014,VFINX,181.990005
10,10/1/2014,VFINX,186.399994
11,11/1/2014,VFINX,191.399994
12,12/1/2014,VFINX,189.889999
13,1/1/2015,GSPC,1994.98999
14,1/1/2015,VFINX,184.169998
15,2/1/2015,GSPC,2104.5
16,2/1/2015,VFINX,194.729996
17,3/1/2015,DJI,17776.11914
18,3/1/2015,GSPC,2067.889893
19,3/1/2015,VFINX,190.710007
20,4/1/2015,DJI,17840.51953
21,4/1/2015,GSPC,2085.51001
22,4/1/2015,VFINX,192.520004
23,5/1/2015,DJI,18010.67969
24,5/1/2015,GSPC,2107.389893
25,5/1/2015,VFINX,194.970001
26,6/1/2015,DJI,17619.50977
27,6/1/2015,GSPC,2063.110107
28,6/1/2015,VFINX,190.360001
29,7/1/2015,DJI,17689.85938
30,7/1/2015,GSPC,2103.840088
31,7/1/2015,VFINX,194.320007
32,8/1/2015,DJI,16528.0293
33,8/1/2015,GSPC,1972.180054
34,8/1/2015,VFINX,182.580002
35,9/1/2015,DJI,16284.7002
36,9/1/2015,GSPC,1920.030029
37,9/1/2015,VFINX,177.139999
38,10/1/2015,DJI,17663.53906
39,10/1/2015,GSPC,2079.360107
40,10/1/2015,VFINX,192.059998
41,11/1/2015,DJI,17719.91992
42,11/1/2015,GSPC,2080.409912
43,11/1/2015,VFINX,192.610001
44,12/1/2015,DJI,17425.0293
45,12/1/2015,GSPC,2043.939941
46,12/1/2015,VFINX,188.479996
47,1/1/2016,DJI,16466.30078
48,1/1/2016,GSPC,1940.23999
49,1/1/2016,VFINX,179.100006
50,2/1/2016,DJI,16516.5
51,2/1/2016,GSPC,1932.22998
52,2/1/2016,VFINX,178.839996
53,3/1/2016,DJI,17685.08984
54,3/1/2016,GSPC,2059.73999
55,3/1/2016,VFINX,189.990005
56,4/1/2016,DJI,17773.64063
57,4/1/2016,GSPC,2065.300049
58,4/1/2016,VFINX,190.699997
59,5/1/2016,DJI,17787.19922
60,5/1/2016,GSPC,2096.949951
61,5/1/2016,VFINX,194.100006
62,6/1/2016,DJI,17929.99023
63,6/1/2016,GSPC,2098.860107
64,6/1/2016,VFINX,193.669998
65,7/1/2016,DJI,18432.24023
66,7/1/2016,GSPC,2173.600098
67,7/1/2016,VFINX,200.789993
68,8/1/2016,DJI,18400.88086
69,8/1/2016,GSPC,2170.949951
70,8/1/2016,VFINX,201.050003
71,9/1/2016,DJI,18308.15039
72,9/1/2016,GSPC,2168.27002
73,9/1/2016,VFINX,200.210007
74,10/1/2016,DJI,18142.41992
75,10/1/2016,GSPC,2126.149902
76,10/1/2016,VFINX,196.539993
77,11/1/2016,DJI,19123.58008
78,11/1/2016,GSPC,2198.810059
79,11/1/2016,VFINX,203.809998
80,12/1/2016,DJI,19762.59961
81,12/1/2016,GSPC,2238.830078
82,12/1/2016,VFINX,206.570007
83,1/1/2017,DJI,19864.08984
84,1/1/2017,GSPC,2278.870117
85,1/1/2017,VFINX,210.460007
86,2/1/2017,DJI,20812.24023
87,2/1/2017,GSPC,2363.639893
88,2/1/2017,VFINX,218.800003
89,3/1/2017,DJI,20663.2207
90,3/1/2017,GSPC,2362.719971
91,3/1/2017,VFINX,218.050003
92,4/1/2017,DJI,20940.50977
93,4/1/2017,GSPC,2384.199951
94,4/1/2017,VFINX,220.270004
95,5/1/2017,DJI,21008.65039
96,5/1/2017,GSPC,2411.800049
97,5/1/2017,VFINX,223.339996
