FIPS,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,
0,US,United States,308745538,311644280,313993272,316234505,318622525,321039839,323405935,325719178,327167434,
1000,AL,Alabama,4779736,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,
2000,AK,Alaska,710231,722038,730399,737045,736307,737547,741504,739786,737438,
4000,AZ,Arizona,6392017,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646,
5000,AR,Arkansas,2915918,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825,
6000,CA,California,37253956,37641823,37960782,38280824,38625139,38953142,39209127,39399349,39557045,
8000,CO,Colorado,5029196,5121771,5193721,5270482,5351218,5452107,5540921,5615902,5695564,
9000,CT,Connecticut,3574097,3588023,3594395,3594915,3594783,3587509,3578674,3573880,3572665,
10000,DE,Delaware,897934,907316,915188,923638,932596,941413,949216,957078,967171,
11000,DC,District of Columbia,601723,619602,634725,650431,662513,675254,686575,695691,702455,
12000,FL,Florida,18801310,19093352,19326230,19563166,19860330,20224249,20629982,20976812,21299325,
13000,GA,Georgia,9687653,9801578,9901496,9973326,10069001,10181111,10304763,10413055,10519475,
15000,HI,Hawaii,1360301,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491,
16000,ID,Idaho,1567582,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208,
17000,IL,Illinois,12830632,12867291,12884119,12898269,12888962,12864342,12826895,12786196,12741080,
18000,IN,Indiana,6483802,6516045,6537640,6568367,6593533,6608296,6633344,6660082,6691878,
19000,IA,Iowa,3046355,3066054,3076097,3093078,3109504,3121460,3131785,3143637,3156145,
20000,KS,Kansas,2853118,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505,
21000,KY,Kentucky,4339367,4369488,4386381,4404817,4414483,4425999,4438229,4453874,4468402,
22000,LA,Louisiana,4533372,4575184,4600814,4624577,4644204,4664851,4678215,4670818,4659978,
23000,ME,Maine,1328361,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404,
24000,MD,Maryland,5773552,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718,
25000,MA,Massachusetts,6547629,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149,
26000,MI,Michigan,9883640,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,
27000,MN,Minnesota,5303925,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179,
28000,MS,Mississippi,2967297,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530,
29000,MO,Missouri,5988927,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452,
30000,MT,Montana,989415,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305,
31000,NE,Nebraska,1826341,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268,
32000,NV,Nevada,2700551,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392,
33000,NH,New Hampshire,1316470,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,
34000,NJ,New Jersey,8791894,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,
35000,NM,New Mexico,2059179,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428,
36000,NY,New York,19378102,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,
37000,NC,North Carolina,9535483,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,
38000,ND,North Dakota,672591,685136,701116,721999,737382,754022,754353,755176,760077,
39000,OH,Ohio,11536504,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,
40000,OK,Oklahoma,3751351,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079,
41000,OR,Oregon,3831074,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713,
42000,PA,Pennsylvania,12702379,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,
44000,RI,Rhode Island,1052567,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315,
45000,SC,South Carolina,4625364,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127,
46000,SD,South Dakota,814180,823484,833496,842270,849088,853933,862890,873286,882235,
47000,TN,Tennessee,6346105,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010,
48000,TX,Texas,25145561,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845,
49000,UT,Utah,2763885,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105,
50000,VT,Vermont,625741,626979,626063,626212,625218,625197,623644,624525,626299,
51000,VA,Virginia,8001024,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685,
53000,WA,Washington,6724540,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591,
54000,WV,West Virginia,1852994,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832,
55000,WI,Wisconsin,5686986,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568,
56000,WY,Wyoming,563626,567224,576270,582123,582548,585668,584290,578934,577737,
72000,PR,Puerto Rico,3725789,3678732,3634488,3593077,3534874,3473181,3406520,3337177,,
